Nom;Nom (EN);D?finition;Nom de la Vue (logique);Nom de la Colonne (logique);Nom de la Vue (physique);Nom de la Colonne (physique)
Période liquidation x2;Non renseigné;Période de liquidation minimale à doubler (CRD4);Garanties reçues;Liquidation Period X2 Cd;TEC_RECEIVED_GUARANTEE;LQDTN_PRD_X2_CD
Nature opération;Non renseigné;"Correspond à la classification de l'encours selon la nomenclature Groupe CA NATO commune aux Risques et à la Comptabilité.
Il s'agit ici de la NATure d'Opération telle que déterminée et employée par l'entité dans son rapprochement comptabilité/risques.";Garanties reçues;Operation Nature Cd;TEC_RECEIVED_GUARANTEE;OPRTN_NATR_CD
Périodicité paiement intérêts;Non renseigné;Fréquence à laquelle les intérêts sont payés (/calculés);Contrats;Interest Payment Periodicity Cd;TEC_CONTRACT;INT_PMT_PERIODCITY_CD
Famille de garantie personnelle Bâle 2;Non renseigné;Famille de garantie réelle Bâle II;"Tranches ""OMP""";Personal Guarantee Risk Mitigant Basel Category Cd;TEC_IFRS9_TRANCHE;PERSNL_GUAR_RISK_MTGNT_BSL_CTGY_CD
Montant notionnel - Jambe achetée (euro);Non renseigné;Montant notionnel de la jambe achetée;Contrats;Buy Leg Nominal Euro Amt;TEC_CONTRACT;BUY_LEG_NMNL_EURO_AMT
Devise montant RA sur le mois;Non renseigné;Non renseigné;Contrats;Month Early Repayment Amt Currency Cd;TEC_CONTRACT;MTH_EARLY_RPMT_AMT_CURY_CD
Indicateur actif déprécié origination;Non renseigné;Indicateur Actif déprécié dès l’origination;Contrats;Impaired Asset Ind;TEC_CONTRACT;IMPARD_ASSET_IND
Indicateur opération effet de levier;Non renseigné;Indicateur permettant d'identifier les encours sur opérations de financement à effet de levier.;Contrats;Leveraging Operation Ind;TEC_CONTRACT;LVRAGING_OPRTN_IND
Devise montant du capital amorti à l'échéance;Non renseigné;Non renseigné;Echéanciers;Schedule Amortized Capital Currency Cd;TEC_SCHEDULE;SCHD_AMRTZD_CPTL_CURY_CD
Probabilité défaut origine;Non renseigné;Probabilité de défaut après octroi du crédit. Données de niveau Tiers mais stocké au niveau Contrat pour des questions de traçabilité (donnée à l'origine du contrat non nécessairement disponible dans le référentiel);Contrats;Original Probability Default Rate;TEC_CONTRACT;ORIGNL_PRBTY_DFLT_RATE
